date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,base_demand,demand_class,week,month,season,is_holiday,promo_event,gross_margin_per_unit,gross_margin
2024-08-04,SKU001,4,33265.68,8316.42,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,31,8,Summer,0,,3981.01,15924.04
2024-08-05,SKU001,3,27324.87,9108.29,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,32,8,Summer,0,,4772.880000000001,14318.640000000003
2024-08-06,SKU001,2,18346.38,9173.19,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,32,8,Summer,0,,4837.780000000001,9675.560000000001
2024-08-07,SKU001,1,9080.6,9080.6,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,32,8,Summer,0,,4745.1900000000005,4745.1900000000005
2024-08-08,SKU001,2,17934.62,8967.31,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,32,8,Summer,0,,4631.9,9263.8
2024-08-09,SKU001,3,26895.54,8965.18,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,32,8,Summer,0,,4629.77,13889.310000000001
2024-08-10,SKU001,2,18242.42,9121.21,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,32,8,Summer,0,,4785.799999999999,9571.599999999999
2024-08-11,SKU001,2,16979.36,8489.68,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,32,8,Summer,0,,4154.27,8308.54
2024-08-12,SKU001,1,9189.14,9189.14,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,33,8,Summer,0,,4853.73,4853.73
2024-08-13,SKU001,3,25779.75,8593.25,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,33,8,Summer,0,,4257.84,12773.52
2024-08-14,SKU001,3,27448.68,9149.56,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,33,8,Summer,0,,4814.15,14442.449999999999
2024-08-15,SKU001,2,17321.88,8660.94,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,33,8,Summer,1,,4325.530000000001,8651.060000000001
2024-08-16,SKU001,0,0.0,8452.19,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,33,8,Summer,0,,4116.780000000001,0.0
2024-08-17,SKU001,3,25183.38,8394.46,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,33,8,Summer,0,,4059.0499999999993,12177.149999999998
2024-08-18,SKU001,3,25418.58,8472.86,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,33,8,Summer,0,,4137.450000000001,12412.350000000002
2024-08-19,SKU001,2,16691.88,8345.94,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,34,8,Summer,0,,4010.5300000000007,8021.060000000001
2024-08-20,SKU001,4,34132.2,8533.05,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,34,8,Summer,0,,4197.639999999999,16790.559999999998
2024-08-21,SKU001,7,59006.85,8429.55,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,34,8,Summer,0,,4094.1399999999994,28658.979999999996
2024-08-22,SKU001,2,18137.38,9068.69,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,34,8,Summer,0,,4733.280000000001,9466.560000000001
2024-08-23,SKU001,2,17067.56,8533.78,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,34,8,Summer,0,,4198.370000000001,8396.740000000002
2024-08-24,SKU001,2,17937.58,8968.79,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,34,8,Summer,0,,4633.380000000001,9266.760000000002
2024-08-25,SKU001,2,17982.5,8991.25,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,34,8,Summer,0,,4655.84,9311.68
2024-08-26,SKU001,3,27342.36,9114.12,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,35,8,Summer,0,,4778.710000000001,14336.130000000003
2024-08-27,SKU001,0,0.0,8543.97,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,35,8,Summer,0,,4208.5599999999995,0.0
2024-08-28,SKU001,2,17422.54,8711.27,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,35,8,Summer,0,,4375.860000000001,8751.720000000001
2024-08-29,SKU001,3,25834.44,8611.48,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,35,8,Summer,0,,4276.07,12828.21
2024-08-30,SKU001,2,16901.46,8450.73,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,35,8,Summer,0,,4115.32,8230.64
2024-08-31,SKU001,5,43947.7,8789.54,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,35,8,Summer,0,,4454.130000000001,22270.650000000005
2024-09-01,SKU001,1,8418.6,8418.6,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,35,9,Autumn,0,,4083.1900000000005,4083.1900000000005
2024-09-02,SKU001,3,26416.95,8805.65,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,36,9,Autumn,0,,4470.24,13410.72
2024-09-03,SKU001,1,8332.29,8332.29,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,36,9,Autumn,0,,3996.880000000001,3996.880000000001
2024-09-04,SKU001,0,0.0,9132.83,0,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low,36,9,Autumn,0,,4797.42,0.0
