sku_id,week_start,forecast
SKU001,2026-01-05,11.0
SKU001,2026-01-12,23.0
SKU001,2026-01-19,12.0
SKU001,2026-01-26,14.0
SKU001,2026-02-02,13.0
SKU001,2026-02-09,22.0
SKU002,2026-01-05,117.0
SKU002,2026-01-12,70.0
SKU002,2026-01-19,93.0
SKU002,2026-01-26,92.0
SKU002,2026-02-02,89.0
SKU002,2026-02-09,84.0
SKU003,2026-01-05,51.0
SKU003,2026-01-12,33.0
SKU003,2026-01-19,35.0
SKU003,2026-01-26,34.0
SKU003,2026-02-02,35.0
SKU003,2026-02-09,34.0
SKU004,2026-01-05,31.0
SKU004,2026-01-12,29.0
SKU004,2026-01-19,31.0
SKU004,2026-01-26,35.0
SKU004,2026-02-02,39.0
SKU004,2026-02-09,40.0
SKU005,2026-01-05,68.0
SKU005,2026-01-12,70.0
SKU005,2026-01-19,66.0
SKU005,2026-01-26,52.0
SKU005,2026-02-02,59.0
SKU005,2026-02-09,63.0
SKU006,2026-01-05,69.0
SKU006,2026-01-12,66.0
SKU006,2026-01-19,61.0
SKU006,2026-01-26,65.0
SKU006,2026-02-02,76.0
SKU006,2026-02-09,56.0
SKU007,2026-01-05,33.0
SKU007,2026-01-12,20.0
SKU007,2026-01-19,24.0
SKU007,2026-01-26,30.0
SKU007,2026-02-02,39.0
SKU007,2026-02-09,33.0
SKU008,2026-01-05,90.0
SKU008,2026-01-12,75.0
SKU008,2026-01-19,95.0
SKU008,2026-01-26,86.0
SKU008,2026-02-02,85.0
SKU008,2026-02-09,94.0
SKU009,2026-01-05,61.0
SKU009,2026-01-12,60.0
SKU009,2026-01-19,67.0
SKU009,2026-01-26,63.0
SKU009,2026-02-02,47.0
SKU009,2026-02-09,49.0
SKU010,2026-01-05,26.0
SKU010,2026-01-12,13.0
SKU010,2026-01-19,16.0
SKU010,2026-01-26,18.0
SKU010,2026-02-02,8.0
SKU010,2026-02-09,17.0
SKU011,2026-01-05,22.0
SKU011,2026-01-12,18.0
SKU011,2026-01-19,19.0
SKU011,2026-01-26,30.0
SKU011,2026-02-02,16.0
SKU011,2026-02-09,21.0
SKU012,2026-01-05,78.0
SKU012,2026-01-12,76.0
SKU012,2026-01-19,75.0
SKU012,2026-01-26,61.0
SKU012,2026-02-02,74.0
SKU012,2026-02-09,84.0
SKU013,2026-01-05,22.0
SKU013,2026-01-12,27.0
SKU013,2026-01-19,31.0
SKU013,2026-01-26,24.0
SKU013,2026-02-02,29.0
SKU013,2026-02-09,28.0
SKU014,2026-01-05,64.0
SKU014,2026-01-12,65.0
SKU014,2026-01-19,58.0
SKU014,2026-01-26,56.0
SKU014,2026-02-02,54.0
SKU014,2026-02-09,61.0
SKU015,2026-01-05,73.0
SKU015,2026-01-12,73.0
SKU015,2026-01-19,80.0
SKU015,2026-01-26,62.0
SKU015,2026-02-02,77.0
SKU015,2026-02-09,75.0
SKU016,2026-01-05,104.0
SKU016,2026-01-12,110.0
SKU016,2026-01-19,97.0
SKU016,2026-01-26,85.0
SKU016,2026-02-02,88.0
SKU016,2026-02-09,89.0
SKU017,2026-01-05,62.0
SKU017,2026-01-12,41.0
SKU017,2026-01-19,51.0
SKU017,2026-01-26,41.0
SKU017,2026-02-02,29.0
SKU017,2026-02-09,36.0
SKU018,2026-01-05,17.0
SKU018,2026-01-12,15.0
SKU018,2026-01-19,13.0
SKU018,2026-01-26,22.0
SKU018,2026-02-02,24.0
SKU018,2026-02-09,21.0
SKU019,2026-01-05,94.0
SKU019,2026-01-12,78.0
SKU019,2026-01-19,70.0
SKU019,2026-01-26,71.0
SKU019,2026-02-02,67.0
SKU019,2026-02-09,74.0
SKU020,2026-01-05,29.0
SKU020,2026-01-12,27.0
SKU020,2026-01-19,17.0
SKU020,2026-01-26,21.0
SKU020,2026-02-02,37.0
SKU020,2026-02-09,21.0
SKU021,2026-01-05,14.0
SKU021,2026-01-12,13.0
SKU021,2026-01-19,11.0
SKU021,2026-01-26,14.0
SKU021,2026-02-02,7.0
SKU021,2026-02-09,15.0
SKU022,2026-01-05,213.0
SKU022,2026-01-12,196.0
SKU022,2026-01-19,190.0
SKU022,2026-01-26,179.0
SKU022,2026-02-02,188.0
SKU022,2026-02-09,214.0
SKU023,2026-01-05,119.0
SKU023,2026-01-12,106.0
SKU023,2026-01-19,83.0
SKU023,2026-01-26,95.0
SKU023,2026-02-02,104.0
SKU023,2026-02-09,95.0
SKU024,2026-01-05,23.0
SKU024,2026-01-12,17.0
SKU024,2026-01-19,10.0
SKU024,2026-01-26,15.0
SKU024,2026-02-02,11.0
SKU024,2026-02-09,14.0
SKU025,2026-01-05,52.0
SKU025,2026-01-12,43.0
SKU025,2026-01-19,52.0
SKU025,2026-01-26,48.0
SKU025,2026-02-02,49.0
SKU025,2026-02-09,46.0
SKU026,2026-01-05,92.0
SKU026,2026-01-12,82.0
SKU026,2026-01-19,67.0
SKU026,2026-01-26,72.0
SKU026,2026-02-02,72.0
SKU026,2026-02-09,64.0
SKU027,2026-01-05,42.0
SKU027,2026-01-12,41.0
SKU027,2026-01-19,32.0
SKU027,2026-01-26,33.0
SKU027,2026-02-02,33.0
SKU027,2026-02-09,36.0
SKU028,2026-01-05,18.0
SKU028,2026-01-12,18.0
SKU028,2026-01-19,19.0
SKU028,2026-01-26,17.0
SKU028,2026-02-02,18.0
SKU028,2026-02-09,19.0
SKU029,2026-01-05,65.0
SKU029,2026-01-12,44.0
SKU029,2026-01-19,47.0
SKU029,2026-01-26,57.0
SKU029,2026-02-02,54.0
SKU029,2026-02-09,42.0
SKU030,2026-01-05,14.0
SKU030,2026-01-12,19.0
SKU030,2026-01-19,12.0
SKU030,2026-01-26,11.0
SKU030,2026-02-02,16.0
SKU030,2026-02-09,23.0
SKU031,2026-01-05,208.0
SKU031,2026-01-12,164.0
SKU031,2026-01-19,170.0
SKU031,2026-01-26,159.0
SKU031,2026-02-02,153.0
SKU031,2026-02-09,195.0
SKU032,2026-01-05,23.0
SKU032,2026-01-12,33.0
SKU032,2026-01-19,29.0
SKU032,2026-01-26,22.0
SKU032,2026-02-02,34.0
SKU032,2026-02-09,28.0
SKU033,2026-01-05,128.0
SKU033,2026-01-12,119.0
SKU033,2026-01-19,120.0
SKU033,2026-01-26,132.0
SKU033,2026-02-02,116.0
SKU033,2026-02-09,126.0
SKU034,2026-01-05,132.0
SKU034,2026-01-12,113.0
SKU034,2026-01-19,112.0
SKU034,2026-01-26,117.0
SKU034,2026-02-02,130.0
SKU034,2026-02-09,110.0
SKU035,2026-01-05,100.0
SKU035,2026-01-12,84.0
SKU035,2026-01-19,90.0
SKU035,2026-01-26,78.0
SKU035,2026-02-02,90.0
SKU035,2026-02-09,81.0
SKU036,2026-01-05,40.0
SKU036,2026-01-12,20.0
SKU036,2026-01-19,23.0
SKU036,2026-01-26,24.0
SKU036,2026-02-02,31.0
SKU036,2026-02-09,33.0
SKU037,2026-01-05,43.0
SKU037,2026-01-12,43.0
SKU037,2026-01-19,39.0
SKU037,2026-01-26,45.0
SKU037,2026-02-02,33.0
SKU037,2026-02-09,48.0
SKU038,2026-01-05,38.0
SKU038,2026-01-12,29.0
SKU038,2026-01-19,24.0
SKU038,2026-01-26,35.0
SKU038,2026-02-02,34.0
SKU038,2026-02-09,26.0
SKU039,2026-01-05,31.0
SKU039,2026-01-12,31.0
SKU039,2026-01-19,26.0
SKU039,2026-01-26,19.0
SKU039,2026-02-02,27.0
SKU039,2026-02-09,33.0
SKU040,2026-01-05,64.0
SKU040,2026-01-12,66.0
SKU040,2026-01-19,61.0
SKU040,2026-01-26,53.0
SKU040,2026-02-02,68.0
SKU040,2026-02-09,41.0
SKU041,2026-01-05,93.0
SKU041,2026-01-12,75.0
SKU041,2026-01-19,85.0
SKU041,2026-01-26,64.0
SKU041,2026-02-02,69.0
SKU041,2026-02-09,86.0
SKU042,2026-01-05,36.0
SKU042,2026-01-12,25.0
SKU042,2026-01-19,25.0
SKU042,2026-01-26,29.0
SKU042,2026-02-02,33.0
SKU042,2026-02-09,34.0
SKU043,2026-01-05,41.0
SKU043,2026-01-12,35.0
SKU043,2026-01-19,32.0
SKU043,2026-01-26,36.0
SKU043,2026-02-02,46.0
SKU043,2026-02-09,35.0
SKU044,2026-01-05,22.0
SKU044,2026-01-12,18.0
SKU044,2026-01-19,16.0
SKU044,2026-01-26,26.0
SKU044,2026-02-02,16.0
SKU044,2026-02-09,18.0
SKU045,2026-01-05,32.0
SKU045,2026-01-12,24.0
SKU045,2026-01-19,31.0
SKU045,2026-01-26,28.0
SKU045,2026-02-02,42.0
SKU045,2026-02-09,41.0
SKU046,2026-01-05,13.0
SKU046,2026-01-12,9.0
SKU046,2026-01-19,21.0
SKU046,2026-01-26,16.0
SKU046,2026-02-02,7.0
SKU046,2026-02-09,9.0
SKU047,2026-01-05,80.0
SKU047,2026-01-12,71.0
SKU047,2026-01-19,75.0
SKU047,2026-01-26,64.0
