sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,lead_time_demand,forecast_6w_demand,stock_gap,stockout_risk,excess_units,capital_locked,overstock_risk,revenue_at_risk,action
SKU001,46,7.0,11,29,34.0,95.0,-19.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU002,1346,113.0,3,51,117.0,545.0,-1342.0,LOW,801.0,3199594.5,HIGH,0.0,MARKDOWN / CLEAR
SKU003,95,38.0,9,93,84.0,222.0,-49.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU004,767,3.0,5,39,31.0,205.0,-739.0,LOW,562.0,2354706.94,HIGH,0.0,MARKDOWN / CLEAR
SKU005,304,201.0,19,254,204.0,378.0,-301.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU006,71,42.0,4,61,69.0,393.0,-44.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU007,71,42.0,9,68,53.0,179.0,-60.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU008,1290,47.0,12,268,165.0,525.0,-1172.0,LOW,765.0,1801276.65,HIGH,0.0,MARKDOWN / CLEAR
SKU009,1363,31.0,9,125,121.0,347.0,-1273.0,LOW,1016.0,2155088.4,HIGH,0.0,MARKDOWN / CLEAR
SKU010,113,29.0,16,57,55.0,98.0,-87.0,LOW,15.0,5019.0,LOW,0.0,HEALTHY
SKU011,19,4.0,3,13,22.0,126.0,-1.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU012,35,88.0,9,139,154.0,448.0,31.0,HIGH,0.0,0.0,LOW,197355.92,REORDER NOW
SKU013,18,4.0,3,19,22.0,161.0,0.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU014,113,33.0,9,116,129.0,358.0,-17.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU015,162,119.0,10,167,146.0,440.0,-135.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU016,246,128.0,10,137,214.0,573.0,-160.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU017,41,8.0,7,81,62.0,260.0,13.0,HIGH,0.0,0.0,LOW,27484.08,REORDER NOW
SKU018,19,9.0,6,18,17.0,112.0,-11.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU019,22,44.0,6,119,94.0,454.0,28.0,HIGH,0.0,0.0,LOW,163700.6,REORDER NOW
SKU020,70,14.0,8,38,56.0,152.0,-28.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU021,55,21.0,13,32,27.0,74.0,-49.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU022,80,170.0,11,324,409.0,1180.0,159.0,HIGH,0.0,0.0,LOW,1055804.52,REORDER NOW
SKU023,2055,73.0,4,103,119.0,602.0,-2009.0,LOW,1453.0,3275483.37,HIGH,0.0,MARKDOWN / CLEAR
SKU024,31,11.0,9,23,40.0,90.0,-2.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU025,1040,11.0,20,216,147.0,290.0,-904.0,LOW,750.0,2307975.0,HIGH,0.0,MARKDOWN / CLEAR
SKU026,292,53.0,14,203,174.0,449.0,-171.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU027,87,30.0,7,46,42.0,217.0,-75.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU028,18,26.0,12,50,36.0,109.0,-8.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU029,355,35.0,18,207,156.0,309.0,-234.0,LOW,46.0,74602.8,LOW,0.0,HEALTHY
SKU030,57,34.0,13,51,33.0,95.0,-58.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU031,512,79.0,10,270,372.0,1049.0,-219.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU032,645,26.0,3,20,23.0,169.0,-648.0,LOW,476.0,715447.04,HIGH,0.0,MARKDOWN / CLEAR
SKU033,133,3.0,19,355,367.0,741.0,231.0,HIGH,0.0,0.0,LOW,2215911.39,REORDER NOW
SKU034,405,182.0,10,266,245.0,714.0,-342.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
