date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-08-04,SKU001,4,33265.68,8316.42,0
2024-08-05,SKU001,3,27324.87,9108.29,0
2024-08-06,SKU001,2,18346.38,9173.19,0
2024-08-07,SKU001,1,9080.6,9080.6,0
2024-08-08,SKU001,2,17934.62,8967.31,0
2024-08-09,SKU001,3,26895.54,8965.18,0
2024-08-10,SKU001,2,18242.42,9121.21,0
2024-08-11,SKU001,2,16979.36,8489.68,0
2024-08-12,SKU001,1,9189.14,9189.14,0
2024-08-13,SKU001,3,25779.75,8593.25,0
2024-08-14,SKU001,3,27448.68,9149.56,0
2024-08-15,SKU001,2,17321.88,8660.94,0
2024-08-16,SKU001,0,0.0,8452.19,0
2024-08-17,SKU001,3,25183.38,8394.46,0
2024-08-18,SKU001,3,25418.58,8472.86,0
2024-08-19,SKU001,2,16691.88,8345.94,0
2024-08-20,SKU001,4,34132.2,8533.05,0
2024-08-21,SKU001,7,59006.85,8429.55,0
2024-08-22,SKU001,2,18137.38,9068.69,0
2024-08-23,SKU001,2,17067.56,8533.78,0
2024-08-24,SKU001,2,17937.58,8968.79,0
2024-08-25,SKU001,2,17982.5,8991.25,0
2024-08-26,SKU001,3,27342.36,9114.12,0
2024-08-27,SKU001,0,0.0,8543.97,0
2024-08-28,SKU001,2,17422.54,8711.27,0
2024-08-29,SKU001,3,25834.44,8611.48,0
2024-08-30,SKU001,2,16901.46,8450.73,0
2024-08-31,SKU001,5,43947.7,8789.54,0
2024-09-01,SKU001,1,8418.6,8418.6,0
2024-09-02,SKU001,3,26416.95,8805.65,0
2024-09-03,SKU001,1,8332.29,8332.29,0
2024-09-04,SKU001,0,0.0,9132.83,0
2024-09-05,SKU001,2,17333.32,8666.66,0
2024-09-06,SKU001,1,9197.61,9197.61,0
2024-09-07,SKU001,3,27408.84,9136.28,0
2024-09-08,SKU001,1,8614.26,8614.26,0
2024-09-09,SKU001,4,36556.36,9139.09,0
2024-09-10,SKU001,2,18403.82,9201.91,0
2024-09-11,SKU001,1,8718.85,8718.85,0
2024-09-12,SKU001,0,0.0,8442.67,0
2024-09-13,SKU001,3,26882.13,8960.71,0
2024-09-14,SKU001,3,27488.46,9162.82,0
2024-09-15,SKU001,1,8917.3,8917.3,0
2024-09-16,SKU001,1,8711.06,8711.06,0
2024-09-17,SKU001,5,45802.7,9160.54,0
2024-09-18,SKU001,2,17624.68,8812.34,0
2024-09-19,SKU001,3,26667.9,8889.3,0
2024-09-20,SKU001,1,8702.41,8702.41,0
2024-09-21,SKU001,1,8907.73,8907.73,0
2024-09-22,SKU001,2,17199.9,8599.95,0
2024-09-23,SKU001,2,17055.7,8527.85,0
2024-09-24,SKU001,1,8553.55,8553.55,0
2024-09-25,SKU001,0,0.0,8561.11,0
2024-09-26,SKU001,2,17589.04,8794.52,0
2024-09-27,SKU001,3,26609.4,8869.8,0
2024-09-28,SKU001,3,24978.39,8326.13,0
2024-09-29,SKU001,3,27450.21,9150.07,0
2024-09-30,SKU001,3,26627.61,8875.87,0
2024-10-01,SKU001,1,9129.06,9129.06,0
2024-10-02,SKU001,7,59654.14,8522.02,0
2024-10-03,SKU001,2,17668.26,8834.13,0
2024-10-04,SKU001,1,9041.84,9041.84,0
2024-10-05,SKU001,2,17217.2,8608.6,0
2024-10-06,SKU001,2,18008.36,9004.18,0
2024-10-07,SKU001,0,0.0,8657.29,0
2024-10-08,SKU001,2,17373.68,8686.84,0
2024-10-09,SKU001,3,25289.22,8429.74,0
2024-10-10,SKU001,3,25218.39,8406.13,0
2024-10-11,SKU001,2,17607.28,8803.64,0
2024-10-12,SKU001,6,53773.26,8962.21,0
2024-10-13,SKU001,3,25054.74,8351.58,0
2024-10-14,SKU001,4,34725.2,8681.3,0
2024-10-15,SKU001,3,27333.99,9111.33,0
2024-10-16,SKU001,1,8391.91,8391.91,0
2024-10-17,SKU001,1,8366.11,8366.11,0
2024-10-18,SKU001,0,0.0,8305.63,0
2024-10-19,SKU001,2,17787.96,8893.98,0
2024-10-20,SKU001,2,18164.48,9082.24,1
2024-10-21,SKU001,3,25983.81,8661.27,1
2024-10-22,SKU001,4,34898.56,8724.64,1
2024-10-23,SKU001,2,17967.12,8983.56,1
2024-10-24,SKU001,1,8464.31,8464.31,1
2024-10-25,SKU001,4,35580.56,8895.14,1
2024-10-26,SKU001,5,42522.4,8504.48,1
2024-10-27,SKU001,5,44732.9,8946.58,1
2024-10-28,SKU001,0,0.0,8349.81,1
2024-10-29,SKU001,3,26968.05,8989.35,1
2024-10-30,SKU001,3,26328.96,8776.32,1
2024-10-31,SKU001,3,24918.39,8306.13,1
2024-11-01,SKU001,3,27326.49,9108.83,1
2024-11-02,SKU001,3,25498.23,8499.41,1
2024-11-03,SKU001,3,25184.01,8394.67,1
2024-11-04,SKU001,2,16853.5,8426.75,1
2024-11-05,SKU001,3,25883.31,8627.77,1
2024-11-06,SKU001,2,18214.24,9107.12,0
2024-11-07,SKU001,1,8402.12,8402.12,0
2024-11-08,SKU001,0,0.0,8864.47,0
2024-11-09,SKU001,1,8986.07,8986.07,0
2024-11-10,SKU001,3,26002.2,8667.4,0
2024-11-11,SKU001,4,36754.44,9188.61,0
2024-11-12,SKU001,3,25992.06,8664.02,0
2024-11-13,SKU001,1,8595.02,8595.02,0
2024-11-14,SKU001,1,9087.06,9087.06,0
2024-11-15,SKU001,2,17389.42,8694.71,0
2024-11-16,SKU001,4,34849.36,8712.34,0
2024-11-17,SKU001,3,25784.04,8594.68,0
2024-11-18,SKU001,1,8390.6,8390.6,0
