sku_id,category,subcategory,launch_date,unit_cost,list_price,base_demand,demand_class
SKU001,Furniture,Shelf,2024-08-04,4335.41,9027.35,1.7432415150387186,Low
SKU002,Storage,Rack,2024-09-08,3994.5,5929.91,13.086860134579947,Medium
SKU003,Decor,Cushion,2024-09-14,4166.98,7565.51,5.16472061373245,Low
SKU004,bath,Organizer,2024-01-22,4189.87,8435.25,4.746444427343215,Medium
SKU005,Furniture,Shelf,2024-05-27,3958.4,6152.82,9.370239365201167,Medium
SKU006,Outdoor,Chair,2024-02-20,3510.33,7484.02,9.533661875277911,High
SKU007,Office,Chair,2024-01-26,1190.52,1769.61,4.3235949035196555,Medium
SKU008,Storage,Box,2024-08-09,2354.61,5237.39,10.517602419028496,Medium
SKU009,APPLIANCES,Toaster,2024-05-23,2121.15,3505.72,8.544921302074426,Medium
SKU010,Outdoor,Accessory,2024-03-06,334.6,728.18,2.8658033638592473,Medium
SKU011,Lighting,Light,2024-07-02,2973.08,4450.07,2.3149145468376013,Low
SKU012,Storage,Box,2024-06-04,2956.61,6366.32,10.816194647384329,Medium
SKU013,Furniture,Table,2024-09-19,444.84,804.52,3.5887903220513127,Low
SKU014,Kitchen,Utensil,2024-10-08,1399.52,1975.03,8.105774658275656,Medium
SKU015,Storage,Box,2024-02-11,3984.32,8158.01,9.943349188525627,Medium
SKU016,Bedding,Bedsheet,2024-02-25,406.75,587.57,10.14044732935132,Medium
SKU017,Appliances,Mixer,2024-10-24,1015.87,2114.16,6.930863683354543,Medium
SKU018,Bedding,Bedsheet,2024-04-09,3262.33,5643.52,1.7201444179310972,Low
SKU019,kitchen,Utensil,2024-04-30,3588.62,5846.45,10.550941352980647,High
SKU020,Office,Desk,2024-08-24,2412.0,3945.68,3.260209639509409,Low
SKU021,Decor,Wall Art,2024-08-20,1738.0,3403.32,1.5876030989428347,Low
SKU022,Lighting,Lamp,2024-09-07,3681.48,6640.28,20.929429516686266,Medium
SKU023,Furniture,Table,2024-07-26,2254.29,3141.79,12.715507478115452,Medium
SKU024,Furniture,Table,2024-02-17,785.99,1546.06,2.2252931001139027,Low
SKU025,Office,Chair,2024-05-27,3077.3,4228.04,6.873409436652012,High
SKU026,Kitchen,Storage,2024-09-15,688.83,1281.91,9.673267292178549,Medium
SKU027,Decor,Wall Art,2024-06-27,1554.79,2640.26,4.963628772547762,Medium
SKU028,Storage,Organizer,2024-01-08,4183.57,9584.43,2.0729818125188424,Low
SKU029,Kitchen,Cookware,2024-08-07,1621.8,3312.35,8.0420050703402,Medium
SKU030,BATH,Towel,2024-02-05,4605.26,7330.31,2.536451500735914,Low
SKU031,Bedding,Pillow,2024-04-12,4098.78,6898.23,17.08165008474098,High
SKU032,Outdoor,Chair,2024-06-18,1503.04,3506.36,3.0235261119408374,Low
SKU033,Lighting,Pendant,2024-11-15,4490.88,9592.69,12.313198710274479,High
SKU034,Office,Desk,2024-06-20,1784.87,3856.41,15.166478968955131,Medium
SKU035,Outdoor,Planter,2024-08-31,1533.56,3578.8,11.884869912048375,Low
SKU036,Appliances,Mixer,2024-10-01,1020.44,1569.67,3.5981517349733183,Medium
SKU037,Lighting,Lamp,2024-11-25,4867.58,9130.5,5.061113184111969,Low
SKU038,Appliances,Mixer,2024-03-16,919.56,1895.71,3.9373032631524616,Low
SKU039,Office,Organizer,2024-09-09,1238.95,2718.67,3.12003660295613,Medium
SKU040,BEDDING,Blanket,2024-02-13,881.64,2048.88,5.971585611252625,Medium
SKU041,Decor,Wall Art,2024-06-16,4791.43,7909.54,11.49921111050657,High
SKU042,Bath,Mat,2024-07-02,3279.68,4792.24,4.713880309857427,Low
SKU043,Furniture,Shelf,2024-02-24,4685.21,10282.06,5.033121866156203,Medium
SKU044,Bedding,Blanket,2024-01-06,812.98,1805.55,1.8299014824362054,Medium
SKU045,Kitchen,Storage,2024-09-09,4378.37,8683.46,4.178868408392857,Medium
SKU046,Bath,Towel,2024-08-03,4377.21,7995.38,1.7600431422932679,Low
SKU047,Office,Organizer,2024-10-04,794.81,1128.54,9.225866435940638,Medium
SKU048,Outdoor,Planter,2024-09-29,1758.57,2639.73,17.64380293637127,High
SKU049,Decor,Vase,2024-07-09,842.8,1156.49,4.7259728196079465,Low
SKU050,Decor,Cushion,2024-01-18,3078.38,6356.09,9.287242325746979,Medium
SKU051,Office,Chair,2024-08-30,4300.32,6001.74,25.31298513136081,Low
SKU052,Outdoor,Planter,2024-03-23,2984.79,5334.05,1.9720932507384592,Low
SKU053,Furniture,Shelf,2024-02-05,4646.76,6756.71,17.87065325997808,High
SKU054,Furniture,Chair,2024-11-19,4069.52,8824.56,6.110989631566216,Medium
SKU055,Appliances,Mixer,2024-09-29,2716.85,6114.14,6.334730858780012,Medium
SKU056,Bedding,Blanket,2024-07-30,1552.38,2323.54,9.144906562092274,Medium
SKU057,Bath,Towel,2024-04-21,2022.04,3425.07,3.7270460195854906,Medium
SKU058,Kitchen,Cookware,2024-04-07,4759.63,11005.05,15.88408600520706,Medium
SKU059,Storage,Box,2024-11-12,3367.16,7389.61,7.715681222089903,Medium
SKU060,Outdoor,Planter,2024-04-05,3754.0,5865.72,6.527844602547467,Medium
SKU061,Office,Chair,2024-07-28,3710.86,5338.88,12.733892027897028,High
SKU062,Furniture,Shelf,2024-11-12,4064.16,8020.08,4.691231938519238,Medium
SKU063,Office,Organizer,2024-01-30,3073.36,4455.76,4.835556548622797,Medium
SKU064,Lighting,Lamp,2024-07-05,2990.42,5500.23,7.743252528099042,Medium
SKU065,Office,Organizer,2024-06-19,3118.09,7258.28,1.453721237475286,Low
SKU066,Storage,Rack,2024-01-29,3391.96,6070.04,12.540286708724244,Medium
SKU067,Appliances,Kettle,2024-08-31,3883.9,6346.53,6.713405563962001,Medium
SKU068,Outdoor,Planter,2024-02-22,994.58,2320.29,6.812397610958029,Medium
SKU069,Decor,Cushion,2024-02-28,4699.86,10195.48,7.444138439844754,Medium
SKU070,Bedding,Pillow,2024-11-21,3673.47,8628.08,18.451349555837975,Low
SKU071,outdoor,Chair,2024-02-10,3064.81,6345.39,9.519772432836206,Low
SKU072,Decor,Cushion,2024-09-29,1688.19,3091.88,9.83319389011696,Medium
SKU073,Bedding,Blanket,2024-08-31,819.77,1964.9,9.787756256941842,High
SKU074,Appliances,Toaster,2024-10-03,800.17,1919.66,8.083758545009069,Medium
SKU075,Bath,Towel,2024-08-12,436.3,699.33,4.618488384583514,Low
SKU076,Outdoor,Accessory,2024-03-06,4580.0,9339.0,3.76504792585311,Low
